file_name,output_type,experiment_accession,target,Isogenic replicate
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR338UQU/ENCFF187PVW.bed.gz,IDR ranked peaks,ENCSR338UQU,STAT6,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR338UQU/ENCFF084FOM.bed.gz,IDR thresholded peaks,ENCSR338UQU,STAT6,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR338UQU/ENCFF507BNV.bed.gz,IDR ranked peaks,ENCSR338UQU,STAT6,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR338UQU/ENCFF924PUV.bed.gz,IDR thresholded peaks,ENCSR338UQU,STAT6,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR338UQU/ENCFF793HHE.bed.gz,IDR ranked peaks,ENCSR338UQU,STAT6,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR338UQU/ENCFF598VGY.bed.gz,IDR thresholded peaks,ENCSR338UQU,STAT6,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR338UQU/ENCFF332UTL.bed.gz,IDR ranked peaks,ENCSR338UQU,STAT6,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR338UQU/ENCFF863LIH.bed.gz,conservative IDR thresholded peaks,ENCSR338UQU,STAT6,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR926TAH/ENCFF412XKP.bed.gz,IDR ranked peaks,ENCSR926TAH,PREB,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR926TAH/ENCFF650DFB.bed.gz,IDR thresholded peaks,ENCSR926TAH,PREB,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR926TAH/ENCFF418QZK.bed.gz,IDR ranked peaks,ENCSR926TAH,PREB,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR926TAH/ENCFF460OAZ.bed.gz,IDR thresholded peaks,ENCSR926TAH,PREB,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR926TAH/ENCFF755VGZ.bed.gz,IDR ranked peaks,ENCSR926TAH,PREB,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR926TAH/ENCFF927VIS.bed.gz,IDR thresholded peaks,ENCSR926TAH,PREB,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR926TAH/ENCFF607JLY.bed.gz,IDR ranked peaks,ENCSR926TAH,PREB,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR926TAH/ENCFF519HST.bed.gz,conservative IDR thresholded peaks,ENCSR926TAH,PREB,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR976MXN/ENCFF653DNY.bed.gz,IDR thresholded peaks,ENCSR976MXN,ZNF317,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR976MXN/ENCFF024CLL.bed.gz,IDR ranked peaks,ENCSR976MXN,ZNF317,1
